City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hiratacho,35.4333,132.8167,289.16,64,100,3.24,JP,1696708954
84,benjamin hill,30.1667,-111.1,307.72,20,98,3.07,MX,1696708955
85,okhotsk,59.3833,143.3,273.22,44,100,0.68,RU,1696708955
86,puerto aysen,-45.4,-72.7,279.65,100,100,3.33,CL,1696708939
87,foshan,23.0268,113.1315,295.17,67,100,6.87,CN,1696708956
88,novyy urengoy,66.0833,76.6333,278.43,95,100,5.67,RU,1696708957
89,chibougamau,49.9168,-74.3659,285.94,94,100,2.57,CA,1696708957
90,kodiak,57.79,-152.4072,281.59,77,64,3.68,US,1696708958
91,gadzhiyevo,69.2551,33.3362,273.97,75,100,0.31,RU,1696708959
92,i-n-salah,27.1935,2.4607,302.93,16,100,8.43,DZ,1696708960
93,hammerfest,70.6634,23.6821,275.4,93,75,1.03,NO,1696708961
94,port mathurin,-19.6833,63.4167,295.92,79,87,9.39,MU,1696708962
95,taltal,-25.4,-70.4833,289.57,64,22,2.62,CL,1696708962
96,wailua homesteads,22.0669,-159.378,301.39,77,20,3.6,US,1696708779
97,sragen,-7.4264,111.0222,297.74,84,21,2.68,ID,1696708965
98,papao,-17.75,-149.55,301.97,81,9,9.64,PF,1696708966
99,kerikeri,-35.2268,173.9474,285.32,95,98,0.89,NZ,1696709701
100,shevchenko,48.5,35.0,292.22,39,100,8.73,UA,1696709702
101,haikou,20.0458,110.3417,299.22,83,75,3.0,CN,1696709702
102,hermanus,-34.4187,19.2345,287.15,74,100,4.5,ZA,1696709703
103,senador jose porfirio,-2.5908,-51.9542,305.72,45,95,1.21,BR,1696709704
104,laojunmiao,39.8333,97.7333,280.25,35,0,3.79,CN,1696709704
105,dwarka,22.2394,68.9678,300.14,73,7,3.92,IN,1696709705
106,mragowo,53.8644,21.3051,283.15,62,87,3.27,PL,1696709706
107,klyuchi,52.2667,79.1667,286.51,59,100,3.14,RU,1696709706
108,al bayda',32.7627,21.7551,290.46,82,5,4.01,LY,1696709707
109,kolonia,50.9333,6.95,293.64,67,89,4.02,DE,1696709654
110,muisne,0.6,-80.0333,300.01,76,94,4.98,EC,1696709709
111,igarka,67.4667,86.5833,274.62,96,56,4.13,RU,1696709709
112,nguruka,-5.1092,31.0419,297.58,42,90,0.38,TZ,1696709710
113,vertou,47.1687,-1.4693,292.14,52,0,2.06,FR,1696709711
114,santa maria,-29.6842,-53.8069,290.58,91,100,4.51,BR,1696709711
115,stanley,54.868,-1.6985,285.81,95,100,4.12,GB,1696709712
116,maryville,35.7565,-83.9705,292.1,46,40,5.66,US,1696709647
117,vershino-darasunskiy,52.35,115.5167,275.05,82,11,1.47,RU,1696709713
118,lihue,21.9789,-159.3672,301.73,76,75,5.14,US,1696709536
119,arar,30.9753,41.0381,300.16,19,0,0.0,SA,1696709714
120,mount gambier,-37.8333,140.7667,277.02,96,7,1.82,AU,1696709674
121,san-pedro,4.7485,-6.6363,297.5,95,100,2.69,CI,1696709717
122,progreso,21.2833,-89.6667,305.43,69,98,5.46,MX,1696709719
123,jasper,37.2001,-94.3502,291.3,42,0,3.09,US,1696709486
124,udachny,66.4167,112.4,274.51,74,100,7.68,RU,1696709637
125,vorozhba,51.1733,34.2192,286.53,73,100,10.71,UA,1696709723
126,kalix,65.853,23.1565,275.6,62,100,7.62,SE,1696709723
127,alice springs,-23.7,133.8833,280.9,61,0,0.0,AU,1696709724
128,rio gallegos,-51.6226,-69.2181,283.96,39,100,11.83,AR,1696709519
129,fortuna,40.5982,-124.1573,287.66,100,20,5.14,US,1696709725
130,flying fish cove,-10.4217,105.6791,297.97,94,100,3.6,CX,1696709673
131,sisimiut,66.9395,-53.6735,276.05,90,100,5.78,GL,1696709726
132,lazaro cardenas,17.9583,-102.2,304.9,62,46,4.86,MX,1696709684
133,east london,-33.0153,27.9116,289.65,75,100,5.2,ZA,1696709495
134,labrador city,52.9463,-66.9114,290.1,72,100,7.72,CA,1696709728
135,al kharijah,25.4514,30.5464,299.38,38,31,5.91,EG,1696709729
136,nantucket,41.2835,-70.0995,291.49,100,100,7.72,US,1696709525
137,rock hill,34.9249,-81.0251,296.92,32,0,6.69,US,1696709651
138,siyabuswa,-25.1132,29.0445,300.43,17,0,2.75,ZA,1696709730
139,sungai penuh,-2.0833,101.3833,290.75,77,62,1.34,ID,1696709731
140,touros,-5.1989,-35.4608,299.97,71,100,5.49,BR,1696709676
141,kapa'a,22.0752,-159.319,302.14,82,75,5.14,US,1696709732
142,olenino,56.2092,33.4889,278.54,79,100,9.53,RU,1696709733
143,vuktyl,63.8567,57.3094,280.99,88,97,5.36,RU,1696709733
144,kapuskasing,49.4169,-82.4331,278.2,93,100,6.69,CA,1696709734
145,harnai,30.1005,67.9374,297.13,13,0,3.51,PK,1696709734
146,vernon,50.2581,-119.2691,294.12,52,98,1.03,CA,1696709735
147,mil'kovo,55.6078,37.7956,282.58,79,58,9.26,RU,1696709735
148,petropavlovsk-kamchatsky,53.0452,158.6483,278.96,83,20,2.0,RU,1696709736
149,constantia,44.1833,28.65,287.53,42,84,5.86,RO,1696709610
150,bredasdorp,-34.5322,20.0403,285.75,75,91,2.35,ZA,1696709737
151,ad dilam,23.9915,47.1627,302.38,18,0,3.5,SA,1696709738
152,fort bragg,35.139,-79.006,298.05,44,75,6.17,US,1696709738
153,al ghayzah,16.2079,52.176,299.49,87,5,4.44,YE,1696709739
154,renqiu,38.6989,116.0936,286.76,56,9,2.4,CN,1696709739
155,chania,35.5122,24.0156,291.93,88,20,0.0,GR,1696709740
156,ilulissat,69.2167,-51.1,277.16,81,75,3.6,GL,1696709644
157,saint-francois,46.4154,3.9054,285.19,94,0,1.03,FR,1696709741
158,alghero,40.5589,8.3181,292.2,94,0,0.51,IT,1696709741
159,martapura,-3.4167,114.85,299.2,83,40,1.54,ID,1696709743
160,kharp,66.8014,65.8081,277.83,98,100,2.09,RU,1696709681
161,vadso,70.0744,29.7487,271.64,74,26,5.66,NO,1696709744
162,malabar,-33.9667,151.25,286.51,79,75,3.09,AU,1696709744
163,oranjemund,-28.55,16.4333,287.99,86,64,7.52,NA,1696709745
164,eydhafushi,5.1033,73.0708,301.47,75,100,2.2,MV,1696709633
165,kozhevnikovo,56.2589,83.9714,282.18,89,7,2.19,RU,1696709746
166,kingston,17.997,-76.7936,304.68,86,40,3.6,JM,1696709663
167,belmonte,-15.8631,-38.8828,299.22,75,36,4.23,BR,1696709747
168,namtsy,62.7161,129.6658,277.07,98,100,4.41,RU,1696709747
169,katsuren-haebaru,26.3369,127.8719,300.36,94,40,1.54,JP,1696709682
170,puerto ayora,-0.7393,-90.3518,299.13,92,61,2.68,EC,1696709639
171,whitehorse,60.7161,-135.0538,282.58,87,75,8.23,CA,1696709748
172,colac,-38.3333,143.5833,281.58,80,82,1.1,AU,1696709749
173,chingirlau,51.095,54.0814,280.65,70,7,3.99,KZ,1696709749
174,alo,7.4178,6.7371,297.07,95,99,0.45,NG,1696709750
175,port alfred,-33.5906,26.891,288.25,91,100,0.89,ZA,1696709750
176,ballina,-28.8667,153.5667,286.36,75,93,4.66,AU,1696709751
177,bandarban,22.1965,92.2262,296.55,99,100,0.85,BD,1696709751
178,portoferraio,42.8115,10.3146,296.25,75,0,5.2,IT,1696709752
179,sitka,57.0531,-135.33,286.09,88,100,5.66,US,1696709752
180,ebon,4.582,168.6964,302.06,74,96,4.58,MH,1696709753
181,midvagur,62.0511,-7.1939,276.61,81,57,0.0,FO,1696709753
182,noumea,-22.2763,166.4572,295.93,99,99,4.1,NC,1696709498
183,maxixe,-23.8597,35.3472,296.91,77,0,5.25,MZ,1696709606
184,remire-montjoly,4.9167,-52.2667,304.17,66,0,5.66,GF,1696709755
185,alofi,-19.0595,-169.9187,297.09,53,40,4.63,NU,1696709721
186,san pedro,14.35,121.0167,299.46,92,20,1.03,PH,1696709756
187,luena,-11.7833,19.9167,295.21,38,54,0.86,AO,1696709756
188,sao luiz gonzaga,-28.4083,-54.9608,291.99,88,99,6.34,BR,1696709757
189,fale old settlement,-9.3852,-171.2468,301.86,76,33,4.92,TK,1696709651
190,pyhajarvi,67.0701,27.2176,273.16,98,100,3.97,FI,1696709757
191,aasiaat,68.7098,-52.8699,275.21,94,100,2.84,GL,1696709758
192,berezovyy,51.6667,135.7,275.98,73,9,2.44,RU,1696709758
193,khandyga,62.6667,135.6,272.8,98,100,2.67,RU,1696709759
194,homestead meadows south,31.811,-106.1643,297.59,33,5,6.55,US,1696709759
195,abaza,52.655,90.0928,279.81,83,97,1.96,RU,1696709760
196,talnakh,69.4865,88.3972,276.6,100,100,3.19,RU,1696709655
197,iskateley,67.6803,53.1512,273.72,85,100,3.58,RU,1696709761
198,awash,8.9833,40.1667,301.24,25,83,1.76,ET,1696709761
199,kalaleh,37.3807,55.4916,290.3,56,0,1.07,IR,1696709762
200,minas de marcona,-15.2119,-75.1103,289.44,76,56,8.67,PE,1696709762
201,bilibino,68.0546,166.4372,258.68,100,96,1.68,RU,1696709763
202,barra dos coqueiros,-10.9089,-37.0386,300.16,78,75,5.14,BR,1696709558
203,ancud,-41.8697,-73.8203,282.47,85,100,5.41,CL,1696709764
204,mohale's hoek,-30.1514,27.4769,293.74,21,100,1.27,LS,1696709765
205,ola,59.5833,151.2833,272.27,77,8,3.92,RU,1696709765
206,merizo village,13.2658,144.6691,300.46,90,99,7.24,GU,1696709766
207,port hedland,-20.3167,118.5667,294.18,73,0,3.6,AU,1696709767
208,carnarvon,-24.8667,113.6333,294.03,66,2,5.61,AU,1696709768
209,saint-philippe,-21.3585,55.7679,294.92,80,54,5.85,RE,1696709654
210,wynyard,-41.0,145.7167,279.25,75,0,2.4,AU,1696709681
211,roccella ionica,38.322,16.4009,294.23,72,0,2.48,IT,1696709769
212,castillos,-34.1667,-53.8333,287.97,58,41,3.87,UY,1696709770
213,ust'-ilimsk,58.0006,102.6619,281.73,94,100,1.79,RU,1696709770
214,thunder bay,48.4001,-89.3168,285.14,40,40,4.12,CA,1696709771
215,ujae,8.9322,165.7642,301.05,82,100,7.65,MH,1696709595
216,vilyuchinsk,52.9306,158.4028,279.78,79,100,0.74,RU,1696709539
217,sao joao da barra,-21.6403,-41.0511,300.2,81,41,11.07,BR,1696709772
218,papatowai,-46.5619,169.4708,280.13,87,91,5.05,NZ,1696709643
219,port saint john's,-31.6229,29.5448,291.99,84,100,6.82,ZA,1696709773
220,nuuk,64.1835,-51.7216,280.49,87,100,19.03,GL,1696709774
221,barreirinhas,-2.7469,-42.8264,301.01,74,99,6.06,BR,1696709774
222,el alto,-4.2714,-81.2147,297.96,71,98,9.71,PE,1696709775
223,kununurra,-15.7667,128.7333,298.14,25,24,2.57,AU,1696709775
224,al mayadin,35.0209,40.4535,300.48,24,100,2.99,SY,1696709776
225,tura,25.5198,90.2201,295.51,98,90,1.29,IN,1696709776
226,luderitz,-26.6481,15.1594,288.85,78,3,10.72,NA,1696709777
227,burang,30.25,81.1667,278.51,80,6,1.47,CN,1696709777
228,matoury,4.8483,-52.3317,304.13,66,0,5.66,GF,1696709778
229,pisco,-13.7,-76.2167,296.18,64,0,8.75,PE,1696709778
230,barcelos,41.5388,-8.6151,298.1,54,92,1.63,PT,1696709643
231,znamenskoye,57.1281,73.8282,283.15,74,99,2.34,RU,1696709780
232,watertown,42.3709,-71.1828,293.09,89,100,5.14,US,1696709625
233,ambovombe,-25.1667,46.0833,296.21,55,0,1.13,MG,1696709780
234,tazovsky,67.4667,78.7,275.98,93,100,3.92,RU,1696709781
235,riverside,33.7333,-116.0508,309.76,12,0,2.06,US,1696709781
236,sinop,41.7711,34.8709,286.32,71,0,2.76,TR,1696709782
237,socorro,31.6546,-106.3033,298.07,34,20,5.14,US,1696709713
238,ustka,54.5805,16.8619,282.95,51,99,6.14,PL,1696709783
239,okha,53.5739,142.9478,276.79,83,7,4.5,RU,1696709784
240,lerwick,60.1545,-1.1494,278.15,63,20,4.74,GB,1696709784
241,bel ombre,-4.6167,55.4167,300.06,78,40,4.63,SC,1696709785
242,dudinka,69.4058,86.1778,276.86,99,100,5.36,RU,1696709637
243,josenii bargaului,47.2167,24.6833,283.81,70,69,1.16,RO,1696709786
244,praia da vitoria,38.7333,-27.0667,294.29,68,40,7.88,PT,1696709786
245,villa bruzual,9.3328,-69.1208,298.1,87,100,1.23,VE,1696709787
246,kailua-kona,19.6406,-155.9956,302.75,74,40,6.17,US,1696709787
247,hilo,19.7297,-155.09,303.86,70,40,3.6,US,1696709788
248,tucuma,-0.1833,-50.05,303.78,59,0,5.26,BR,1696709527
249,bac lieu,9.285,105.7244,299.11,85,100,2.93,VN,1696709788
250,nemuro,43.3236,145.575,285.01,73,45,8.38,JP,1696709647
251,sur,22.5667,59.5289,301.75,70,39,4.55,OM,1696709789
252,inarajan village,13.2736,144.7484,300.69,90,99,7.09,GU,1696709790
253,arvayheer,46.2639,102.775,274.39,55,22,1.29,MN,1696709791
254,luang namtha,20.9497,101.4011,294.27,100,92,0.23,LA,1696709791
255,gumdag,39.2061,54.5906,290.99,63,5,3.73,TM,1696709792
256,nuzvid,16.7833,80.85,298.07,71,98,1.16,IN,1696709792
257,coron,11.9986,120.2043,298.3,89,3,0.95,PH,1696709793
258,hithadhoo,-0.6,73.0833,300.24,83,100,5.83,MV,1696709793
259,mana,5.6592,-53.7767,302.46,69,63,5.49,GF,1696709794
260,la passe,45.5549,-0.8967,291.47,37,6,3.13,FR,1696709794
261,kansanshi,-12.0951,26.4273,295.3,48,25,1.09,ZM,1696709794
262,ha'il,27.5219,41.6907,303.16,19,0,2.06,SA,1696709795
263,geraldton,-28.7667,114.6,291.38,82,100,1.54,AU,1696709795
264,pandan,14.0453,124.1694,299.51,86,62,1.33,PH,1696709796
265,mhamid,29.82,-5.72,299.48,14,100,3.45,MA,1696709636
266,buka,40.8108,69.1986,287.09,73,19,0.71,UZ,1696709797
267,tobelo,1.7284,128.0095,298.89,81,48,2.4,ID,1696709798
268,bechar,31.6167,-2.2167,300.33,18,0,0.51,DZ,1696709798
269,dryden,49.7833,-92.7503,281.31,61,100,4.12,CA,1696709799
